"","age","gender","residence","length_residency","n_family","n_friends","n_acquaintances","B","CON","NE","EE","NE_cent","EE_cent","talk"
"48",46,"Vrouwelijk","Reitdiep",224,2,0,20,3.75,3.5,4,2.75,1.15046296296296,0.175925925925926,3
"49",54,"Mannelijk","Van Starkenborgh (car)",230,3,1,20,4.25,4.25,3.5,2.5,0.650462962962963,-0.074074074074074,2
"50",63,"Mannelijk","Reitdiep",20,0,0,12,5.5,4,2,2,-0.849537037037037,-0.574074074074074,2
"51",48,"Vrouwelijk","Reitdiep",232,2,6,4,4,2.5,2,2.25,-0.849537037037037,-0.324074074074074,3
"52",62,"Mannelijk","Reitdiep",240,0,3,20,5.25,4.75,3.5,3,0.650462962962963,0.425925925925926,3
"53",21,"Vrouwelijk","Reitdiep",216,0,5,15,4.5,4.25,3,2.75,0.150462962962963,0.175925925925926,2
"54",NA,"","Reitdiep",NA,2,0,8,3.5,3.25,3.5,2.5,0.650462962962963,-0.074074074074074,NA
"55",68,"Mannelijk","Reitdiep",220,0,0,4,5.25,4.25,2,2.5,-0.849537037037037,-0.074074074074074,3
"56",30,"Mannelijk","Reitdiep",72,0,0,4,5.25,4.75,4.25,3,1.40046296296296,0.425925925925926,3
"57",62,"Mannelijk","Reitdiep",230,0,2,15,4.5,4,2.5,1.75,-0.349537037037037,-0.824074074074074,2
"58",64,"Mannelijk","Reitdiep",180,0,0,6,4.5,4.5,3.5,2.75,0.650462962962963,0.175925925925926,3
"59",55,"Mannelijk","Van Starkenborgh (car)",200,0,8,6,5,3.75,2.5,2,-0.349537037037037,-0.574074074074074,3
"60",49,"Mannelijk","Reitdiep",220,0,2,10,3.25,3,2.25,2.25,-0.599537037037037,-0.324074074074074,3
"61",66,"Mannelijk","Reitdiep",224,1,2,10,2.25,3.5,1.75,1.75,-1.09953703703704,-0.824074074074074,3
"62",52,"Mannelijk","Reitdiep",229,0,2,20,5.75,4.5,3.25,2.75,0.400462962962963,0.175925925925926,3
"63",NA,"","Reitdiep",NA,0,8,8,3.75,2,2,1.25,-0.849537037037037,-1.32407407407407,NA
